sundanese,indonesian
"Balik ka Sasuke sarta Orochimaru, waktu Kabuto keur nyarita dina Orochimaru yén awak éta henteu bisa nahanana kitu lila, sanggeus Kabuto ninggalkeun Orochimaru sejenak dumadakan Sasuke datang menjebol panto Orochimaru sarta narajang Orochimaru sacara ujug-ujug.","Kembali kepada Sasuke dan Orochimaru, saat Kabuto sedang berbicara pada Orochimaru bahwa tubuh itu tidak bisa menahannya begitu lama, setelah Kabuto meninggalkan Orochimaru sejenak mendadak Sasuke datang menjebol pintu Orochimaru dan menyerang Orochimaru secara tiba-tiba."
"Sasuke ngécéskeun yén, ""Geus euweuh anu bisa diajarkan deui Orochimaru sabab kau leuwih lemah batan kuring anu ayeuna,"" sarta pamustunganana kalayan pedang Kusanagi sarta jurus elemen guludug milik Sasuke ogé maéhan Orochimaru, sarta manéhna ogé tiwas. tapi tétéla Orochimaru némbongkeun wujudna anu saéstuna nyaéta wujud ular bodas.","Sasuke menjelaskan bahwa, ""Sudah tidak ada yang bisa diajarkan lagi Orochimaru sebab kau lebih lemah daripada aku yang sekarang,"" dan akhirnya dengan pedang Kusanagi dan jurus elemen petir milik Sasuke pun membunuh Orochimaru, dan dia pun tewas. namun ternyata Orochimaru menunjukkan wujudnya yang sesungguhnya yaitu wujud ular putih. Sasuke pun menghadapi Orochimaru dengan sungguh-sungguh dan menggunakan ""Joutai"" ke-2-nya. tiba-tiba Orochimaru terkenang masa lalu dan mengingat saat kematian kedua orang tuanya dan Orochimaru mengambil tubuh Sasuke dalam tubuh Orochimaru ada dimensi lain yang digunakan untuk mengambil tubuh orang lain. hal ini pernah terjadi pada Itachi namun Orochimaru gagal mendapatkannya karena ""Sharingan"" Itachi yang terlalu kuat."
Sasuke ogé nyanghareupan Orochimaru kalayan éstuning-éstuning sarta ngagunakeun Joutai ke-2-na. ujug-ujug Orochimaru terkenang mangsa katukang sarta nginget waktu pati kadua kolotna sarta Orochimaru nyokot awak Sasuke dina awak Orochimaru aya dimensi séjén anu dipaké pikeun nyokot awak batur. hal ieu kungsi lumangsung dina Itachi tapi Orochimaru gagal meunangkeunana alatan Sharingan Itachi anu kuat teuing.,"Sasuke menjelaskan bahwa, ""Sudah tidak ada yang bisa diajarkan lagi Orochimaru sebab kau lebih lemah daripada aku yang sekarang,"" dan akhirnya dengan pedang Kusanagi dan jurus elemen petir milik Sasuke pun membunuh Orochimaru, dan dia pun tewas. namun ternyata Orochimaru menunjukkan wujudnya yang sesungguhnya yaitu wujud ular putih. Sasuke pun menghadapi Orochimaru dengan sungguh-sungguh dan menggunakan ""Joutai"" ke-2-nya. tiba-tiba Orochimaru terkenang masa lalu dan mengingat saat kematian kedua orang tuanya dan Orochimaru mengambil tubuh Sasuke dalam tubuh Orochimaru ada dimensi lain yang digunakan untuk mengambil tubuh orang lain. hal ini pernah terjadi pada Itachi namun Orochimaru gagal mendapatkannya karena ""Sharingan"" Itachi yang terlalu kuat."
"Sanggeus éta, ular kasebut memuntahkan awak Sasuke.","Setelah itu, ular tersebut memuntahkan tubuh Sasuke."
Masih ditatanyakeun naha éta Sasuke atawa Orochimaru.,Masih dipertanyakan apakah itu Sasuke atau Orochimaru.
Tapi tétéla éta téh Sasuke anu junun leupas ti Orochimaru kalayan ngagunakeun Sharingannya.,"Namun ternyata itu adalah Sasuke yang berhasil lolos dari Orochimaru dengan menggunakan ""Sharingan""nya."
Pamustunganana orochimaru éléh.,Akhirnya orochimaru kalah .
Tuluy sasuke sarta Suigetsu indit pikeun nyokot pedang Zabuza.,Lalu sasuke dan Suigetsu pergi untuk mengambil pedang Zabuza.
"Maranéhanana indit ka panjara milik Orochimaru anu dijaga ku Karin, sanggeus Sasuke ngajurung Suigetsu pikeun ngaleupaskeun para tawanan, tuluy Karin indit babarengan Sasuke sarta Suigetsu. sasuke keur néangan hiji urang deui pikeun diajak ngagabung kalayan teamnya, anu boga tujuan pikeun maéhan Itachi.","Mereka pergi ke penjara milik Orochimaru yang dijaga oleh Karin, setelah Sasuke menyuruh Suigetsu untuk membebaskan para tawanan, lalu Karin pergi bersama Sasuke dan Suigetsu. sasuke sedang mencari satu orang lagi untuk diajak bergabung dengan teamnya, yang bertujuan untuk membunuh Itachi."
Hiji urang deui kasebut kira-kira Juugo.,Satu orang lagi tersebut diperkirakan Juugo.
Juugo teuas sirah sarta narajang Sasuke jeung Joutai ke-2-na.,Juugo keras kepala dan menyerang Sasuke dengan Joutai ke-2-nya.
"Manéhna ngarobah leungeunnya jadi badag sarta narajang Sasuke tapi ditahan ku jangjang milik Sasuke, Suigetsu datang sarta bertarung ngalawan Juugo.","Dia mengubah tangannya menjadi besar dan menyerang Sasuke namun ditahan oleh sayap milik Sasuke, Suigetsu datang dan bertarung melawan Juugo."
Juugo ngarobah leungeunnya jadi kapak sarta nyanghareupan pedang Zanbato milik Suigetsu (anu baheulana milik Zabuza).,Juugo mengubah tangannya menjadi kapak dan menghadapi pedang Zanbato milik Suigetsu (yang dulunya milik Zabuza).
"Ujug-ujug Sasuke ngaluarkeun dua ular sarta ngomong ""Kumaha lamun kuring maéhan maranéh duaan?"".","Tiba-tiba Sasuke mengeluarkan dua ular dan berkata ""Bagaimana kalau aku membunuh kalian berdua?""."
Maranéhanana duaan ngandeg bertarung.,Mereka berdua berhenti bertarung.
"Juugo jadi sieun sarta ngomong, ""Konci pantona!!","Juugo menjadi ketakutan dan berkata, ""Kunci pintunya!!"
"Kuring henteu hayang maéhan deui!"".","Aku tidak ingin membunuh lagi!""."
Waktu Sasuke daék menenangkan haté Juugm.,Saat Sasuke mau menenangkan hati Juugm.
Karin ngécéskeun yén ngan Kimimaro anu bisa menenangkan haté Juugo.,Karin menjelaskan bahwa hanya Kimimaro yang dapat menenangkan hati Juugo.
Ngan Kimimaro anu junun ngalawan Juugo tanpa tatu.,Hanya Kimimaro yang berhasil melawan Juugo tanpa terluka.
Pamustunganana sabot Juugo nyaho yén jelema anu ngajakna ngagabung éta Uchiha Sasuke.,"Akhirnya ketika Juugo mengetahui bahwa orang yang mengajaknya bergabung itu Uchiha Sasuke. Sasuke menjelaskan bahwa nama timnya ""Hebi"" yang artinya ular."
"Sasuke ngécéskeun yén ngaran timnya ""Hebi"" anu hartina ular.","Akhirnya ketika Juugo mengetahui bahwa orang yang mengajaknya bergabung itu Uchiha Sasuke. Sasuke menjelaskan bahwa nama timnya ""Hebi"" yang artinya ular."
"Tujuan utamana nyaéta ""Uchiha Itachi"".","Tujuan utamanya adalah ""Uchiha Itachi""."
Unggal boga tujuan pangsoranganna.,Masing-masing punya tujuan tersendiri.
Sasuke boga tujuan maéhan Itachi.,Sasuke bertujuan membunuh Itachi.
Suigetsu boga tujuan meunangkeun Samehada anu mangrupa pedang milik Kisame.,Suigetsu bertujuan mendapatkan Samehada yg merupakan pedang milik Kisame.
Karin boga tujuan pikeun babarengan jeung Sasuke sarta mantuan Sasuke.,Karin bertujuan untuk bersama dengan Sasuke dan membantu Sasuke.
Juugo boga tujuan pikeun nempo sabaraha kuat Shinobi kawas Sasuke sarta di sisi séjén Naruto anu nyaho Sasuke geus ngéléhkeun Orochimaru ogé boga niat ngudag Itachi pikeun bisa nyaho ngeunaan Sasuke.,Juugo bertujuan untuk melihat seberapa kuat Shinobi seperti Sasuke dan di sisi lain Naruto yang mengetahui Sasuke telah mengalahkan Orochimaru juga berniat mengejar Itachi untuk bisa mengetahui tentang Sasuke.
"Waktu éta dimoncorong potongan Itachi keur nangtung dihiji gawir babarengan Kisame bari memandangi hujan sarta ngomong, ""Nampaknya baris aya badai.""","Saat itu disorot potongan Itachi sedang berdiri disuatu tebing bersama Kisame sambil memandangi hujan dan berkata, ""Nampaknya akan ada badai."""
"Alatan pupuhu Akatsuki nempo lamun ninja ti Konoha mangrupa anceman serius pikeun maranéhanana, tacan deui pleton Sasuke anu mengincar Itachi.","Karena ketua Akatsuki melihat kalau ninja dari Konoha merupakan ancaman serius bagi mereka, belum lagi pleton Sasuke yang mengincar Itachi."
Maranéhanana tuluy usik opatan sakaligus pikeun nyegah hal anu lumangsung dina Hidan sarta Kakuzu henteu terulang.,Mereka lalu bergerak berempat sekaligus untuk mencegah hal yang terjadi pada Hidan dan Kakuzu tidak terulang.
Naruto anu geus hayang geura-giru menghabisi Itachi tuluy dibéré misi babarengan tim anyarna anu berjumlah 8 jelema.,Naruto yang sudah ingin segera menghabisi Itachi lalu diberi misi bersama tim barunya yang berjumlah 8 orang.
Maranéhanana dibéré misi néwak sarta menginterogasi Itachi Uchiha.,Mereka diberi misi menangkap dan menginterogasi Itachi Uchiha.
"Tim kasebut berisikan Hatake Kakashi, Yamato, Sakura Haruno, Naruto Uzumaki, Sai, Kiba Inuzuka, Shino Aburame sarta Hinata Hyuga.","Tim tersebut berisikan Hatake Kakashi, Yamato, Sakura Haruno, Naruto Uzumaki, Sai, Kiba Inuzuka, Shino Aburame dan Hinata Hyuga."
Sasuke papanggih jeung Tobi sarta Deidara.,Sasuke bertemu dengan Tobi dan Deidara.
Sedengkeun Naruto tanpa disangka papanggih Kabuto anu ogé teu disangka-sangka méréna informasi.,Sedangkan Naruto tanpa diduga bertemu Kabuto yang juga tak disangka-sangka memberinya informasi.
Manéhna tuluy némbongkeun satengah beungeutna anu cenah geus diintegrasikan jeung jiwa Orochimaru.,Dia lalu menunjukkan setengah wajahnya yang katanya sudah diintegrasikan dengan jiwa Orochimaru.
Sasuke anu geus papanggih jeung Deidara ogé bertarung hiji sarua séjén.,Sasuke yang telah bertemu dengan Deidara pun bertarung satu sama lain.
"Dina pamustunganana Deidara mati sanggeus ngagunakeun jurus ledakan bunuh diri bogana, anu ditujukan pikeun maéhan Sasuke, anu tétéla ngagunakeun ularnya sarta genjutsu pikeun tahan hirup ti serangan ledakan bunuh diri Deidara.","Pada akhirnya Deidara mati setelah menggunakan jurus ledakan bunuh diri miliknya, yang ditujukan untuk membunuh Sasuke, yang ternyata menggunakan ularnya dan genjutsu untuk bertahan hidup dari serangan ledakan bunuh diri Deidara."
"Jiraiya anu nyalusup ka désa Amegakure pikeun néangan informasi Pain, pamustunganana dipikanyaho ku Pein liwat telepatinya.","Jiraiya yang menyusup ke desa Amegakure untuk mencari informasi Pain, akhirnya diketahui oleh Pein lewat telepatinya."
"Saméméh Jiraiya papanggih jeung Pein, Jiraiya papanggih jeung anak muridnya tiheula nyaéta Konan.","Sebelum Jiraiya bertemu dengan Pein, Jiraiya bertemu dengan anak muridnya dulu yaitu Konan."
Konan némbongkeun dirina minangka manusa kertas.,Konan menampakkan dirinya sebagai manusia kertas.
Pein pamustunganana papanggih jeung Jiraiya.,Pein akhirnya bertemu dengan Jiraiya.
"Tétéla Pein baheulana nyaéta anak murid ti Jiraiya babarengan Konan, Yahiko, sarta Nagato.","Ternyata Pein dulunya adalah anak murid dari Jiraiya bersama Konan, Yahiko, dan Nagato."
"Sanggeus nyaho yén Pain nyaéta salah sahiji muridnya, ujug-ujug Pain langsung narajang Jiraiya.","Setelah mengetahui bahwa Pain adalah salah satu muridnya, tiba-tiba Pain langsung menyerang Jiraiya."
"Pertarungan tingkat luhur ieu, sarat kalayan jurus-jurus anu hébat.","Pertarungan tingkat tinggi ini, sarat dengan jurus-jurus yang hebat."
"Di tengah pertarungan, Jiraiya nempo yén kadua panon Pain pohara henteu sawajarna.","Di tengah pertarungan, Jiraiya melihat bahwa kedua mata Pain sangat tidak lazim."
"Dina kaayaan terdesak, Jiraiya ngagero dua kodok kolot; Fukasaku sarta Shima sarta manéhna ngasupan Sage Mode, pertarungan lumangsung antara Jiraya sarta Pain sarta Jiraiya junun ngadesek Pain liwat genjutsu nyanyian katak anu dikaluarkeun kadua katak kasebut sarta manéhna junun ngéléhkeun tilu awak Pain tapi tétéla mecenghul 3 awak Pain anu séjén.","Dalam keadaan terdesak, Jiraiya memanggil dua kodok tua; Fukasaku dan Shima dan dia memasuki Sage Mode, pertarungan terjadi antara Jiraya dan Pain dan Jiraiya berhasil mendesak Pain lewat genjutsu nyanyian katak yang dikeluarkan kedua katak tersebut dan dia berhasil mengalahkan tiga tubuh Pain namun ternyata muncul 3 tubuh Pain yang lain."
"Leungeun kénca Jiraiya terpotong, komo Pain ngahirupkeun deui awak-awak Pain anu diéléhkeun Jiraiya sarta salah sahiji ti maranéhanana jiga jeung Yahiko urut muridnya.","Tangan kiri Jiraiya terpotong, bahkan Pain menghidupkan lagi tubuh-tubuh Pain yang dikalahkan Jiraiya dan salah satu dari mereka mirip dengan Yahiko mantan muridnya."
Dina kaayaan terdesak Jiraiya masih sanggup ngéléhkeun hiji awak Pain sarta ménta Shima indit ka désa Konoha pikeun méré informasi ieu.,Dalam keadaan terdesak Jiraiya masih mampu mengalahkan satu tubuh Pain dan meminta Shima pergi ke desa Konoha untuk memberikan informasi ini.
Pamustunganana manéhna nyadar saha wujud pituin Pain tapi Jiraiya tertusuk 5 tumbak sarta genggerongna ancur.,Akhirnya dia menyadari siapa wujud asli Pain tapi Jiraiya tertusuk 5 tombak dan tenggorokannya hancur.
"Naruto sarta batur-batur saterusna nuluykeun panéangan, kalayan ngandelkeun Kagebunshin Naruto.","Naruto dan rekan-rekan kemudian melanjutkan pencarian, dengan mengandalkan ""Kagebunshin"" Naruto."
Tanpa disangka-sangka salah sahiji Kagebunshin éta manggihan Sasuke sanajan langsung dihancurkan Sasuke jeung Chidori.,Tanpa disangka-sangka salah satu Kagebunshin itu menemukan Sasuke meskipun langsung dihancurkan Sasuke dengan Chidori.
Naruto anu narima warta éta liwat pangalaman anu beunang kagebunshin saterusna ménta Hinata melacak Sasuke sarta tim geura-giru ngalakonan pengejaran.,Naruto yang menerima berita itu lewat pengalaman yang didapatkan kagebunshin kemudian meminta Hinata melacak Sasuke dan tim segera melakukan pengejaran.
"Tapi di tengah lalampahan, maranéhanana dihadang ku Tobi.","Namun di tengah perjalanan, mereka dihadang oleh Tobi."
"Naruto anu ngarasa diganggu langsung narajang jeung Rasengan, tapi Tobi henteu kasampak ngalaman tatu sedikitpun, komo kawas henteu kungsi kakeunaan hiji hal.","Naruto yang merasa diganggu langsung menyerang dengan Rasengan, namun Tobi tidak terlihat mengalami cedera sedikitpun, bahkan seperti tidak pernah terkena sesuatu. Sementara Sasuke yang menemukan Itachi langsung memulai pertarungan dengan saling serang lewat genjutsu melawan Itachi."
Samentara Sasuke anu manggihan Itachi langsung mitembeyan pertarungan kalayan silih serang liwat genjutsu ngalawan Itachi.,"Naruto yang merasa diganggu langsung menyerang dengan Rasengan, namun Tobi tidak terlihat mengalami cedera sedikitpun, bahkan seperti tidak pernah terkena sesuatu. Sementara Sasuke yang menemukan Itachi langsung memulai pertarungan dengan saling serang lewat genjutsu melawan Itachi."
"Di tengah pertarungan Itachi nyaritakeun ngeunaan saurang nu boga Mangekyou Sharingan, nyaéta Madara Uchiha, anu tétéla guru ti Itachi.","Di tengah pertarungan Itachi bercerita tentang seorang pemilik Mangekyou Sharingan, yaitu Madara Uchiha, yang ternyata guru dari Itachi."
"Itachi ogé ngomong yén dina peuting pembantaian klan Uchiha, manéhna ogé dibantuan ku Madara Uchiha.","Itachi juga mengatakan bahwa pada malam pembantaian klan Uchiha, dia juga dibantu oleh Madara Uchiha."
Itachi nyaritakeun yén Madara Uchiha geus miboga kakuatan Mangekyou Sharingan anu langgeng (Eternal Mangekyou Sharingan) sanggeus nyokot Mangekyou Sharingkan adina sorangan.,Itachi menceritakan bahwa Madara Uchiha telah mempunyai kekuatan Mangekyou Sharingan yang abadi (Eternal Mangekyou Sharingan) setelah mengambil Mangekyou Sharingkan adiknya sendiri.
Itachi ogé memberitahukan ka Sasuke yén manéhna hayang nyokot bal panon Sasuke pikeun nyampurnakeun Mangekyou Sharingannya.,Itachi menceritakan bahwa Madara Uchiha telah mempunyai kekuatan Mangekyou Sharingan yang abadi (Eternal Mangekyou Sharingan) setelah mengambil Mangekyou Sharingkan adiknya sendiri.
Itachi langsung ngadesek Sasuke kalayan jurus Tsukoyomi kalayan ilusi panon Sasuke dicokot Itachi.,Itachi langsung mendesak Sasuke dengan jurus Tsukoyomi dengan ilusi mata Sasuke diambil Itachi.
"Tapi di luar sangkaan, Sasuke junun mematahkan Tsukuyomi.","Namun di luar dugaan, Sasuke berhasil mematahkan Tsukuyomi."
Itachi ogé tatu alatan éfék Tsukuyomi anu nyieun panon kéncana ngaluarkeun getih sarta penglihatannya mimitian kabur.,Itachi juga terluka karena efek Tsukuyomi yang membuat mata kirinya mengeluarkan darah dan penglihatannya mulai kabur.
Sasuke ogé ngamangpaatkeunana kalayan ngaluarkeun perangkap shuriken sarta suku Itachi tatu.,Sasuke pun memanfaatkannya dengan mengeluarkan perangkap shuriken dan kaki Itachi terluka.
Hujan turun sarta guludug menyambar-nyambar.,Hujan turun dan petir menyambar-nyambar.
Sasuke ngamangpaatkeun kakuatan alam kalayan jurus Kirin tapi Itachi junun salamet kalayan jurus Susano'o.,Sasuke memanfaatkan kekuatan alam dengan jurus Kirin tapi Itachi berhasil selamat dengan jurus Susano'o. Orochimaru keluar dari segel gaib Sasuke dengan wujud Yamata no Orochi dengan pedang Kusanagi.
Tapi manéhna diéléhkeun kalayan pedang Totsuka anu demit dina jurus Susano'o sarta ngirim Orochimaru sarta sakumna joutai Sasuke ka dina genjutsu ngimpi.,Tapi dia dikalahkan dengan pedang Totsuka yang tersembunyi dalam jurus Susano'o dan mengirim Orochimaru dan seluruh joutai Sasuke ke dalam genjutsu mimpi.
Sasuke mecakan narajang Itachi tapi gagal alatan Itachi masih terlindungi jeung Susano'o.,"Sasuke mencoba menyerang Itachi namun gagal karena Itachi masih terlindungi dengan Susano'o. Di lain tempat, Tobi sedang bertarung dengan kelompok tujuh dan delapan."
"Di séjén tempat, Tobi keur bertarung kalayan jumplukan tujuh sarta dalapan.","Sasuke mencoba menyerang Itachi namun gagal karena Itachi masih terlindungi dengan Susano'o. Di lain tempat, Tobi sedang bertarung dengan kelompok tujuh dan delapan."
Shino nyokot alih penyerangan ka Tobi.,Shino mengambil alih penyerangan terhadap Tobi.
"Tobi digembrong kalayan rébuan serangga, tapi sanggeus sawatara waktu manéhna ngiles tanpa tapak.","Tobi dikerumuni dengan ribuan serangga, namun setelah beberapa saat ia menghilang tanpa jejak."
Tuluy Hinata manggihanana di luhur régang tangkal jeung Byakugan.,"Lalu Hinata menemukannya di atas ranting pohon dengan Byakugan. Saat mereka masih berpikir tentang sosok Tobi yang dapat menggunakan space travel time jutsu, muncul Zetsu yang memberitahukan pada Tobi bahwa pertandingan antara Sasuke dan Itachi telah selesai dan pemenangnya adalah Sasuke."
"Waktu maranéhanana masih mikir ngeunaan sosok Tobi anu bisa ngagunakeun space travel time jutsu, mecenghul Zetsu anu memberitahukan dina Tobi yén pertandingan antara Sasuke sarta Itachi geus réngsé sarta pinunjulna nyaéta Sasuke.","Lalu Hinata menemukannya di atas ranting pohon dengan Byakugan. Saat mereka masih berpikir tentang sosok Tobi yang dapat menggunakan space travel time jutsu, muncul Zetsu yang memberitahukan pada Tobi bahwa pertandingan antara Sasuke dan Itachi telah selesai dan pemenangnya adalah Sasuke."
Naruto sarta parakanca terkejut ngadéngé hal kasebut.,Naruto dan kawan-kawan terkejut mendengar hal tersebut.
"Kakashi nempo ka arah Tobi, sarta manéhna nempo Sharingan di liang topeng Tobi.","Kakashi melihat ke arah Tobi, dan ia melihat Sharingan di lubang topeng Tobi."
Tobi sarta Zetsu sasabot indit sarta ngiles.,Tobi dan Zetsu seketika pergi dan menghilang.
Naruto sarta parakanca geura-giru nuju ka tempat pertarungan Sasuke sarta Itachi kalayan kecepatan pinuh.,Naruto dan kawan-kawan segera menuju ke tempat pertarungan Sasuke dan Itachi dengan kecepatan penuh.
"Di tengah lalampahan maranéhanana nyanghareupan aral seuneu hideung Amaterasu, Yamato membelah Amaterasu pikeun diliwatan.","Di tengah perjalanan mereka menghadapi rintangan api hitam Amaterasu, Yamato membelah Amaterasu untuk dilalui."
"Tapi sanggeus nepi ka, maranéhanana geus telat alatan Sasuke sarta Itachi geus dibawa ku Zetsu sarta Tobi.","Namun setelah sampai, mereka telah terlambat karena Sasuke dan Itachi telah dibawa oleh Zetsu dan Tobi."
"Sora kasebut asalna ti Tobi, Tobi ogé mimitian ngawanohkeun diri kalayan muka topeng anu jadi misteri salila ieu.","Suara tersebut berasal dari Tobi, Tobi pun mulai memperkenalkan diri dengan membuka topeng yang menjadi misteri selama ini."
Cacak tacan kabuka sapinuhna geus kasampak sharingan milik tobi anu nyieun Sasuke pohara terkejut nempona.,Walau belum terbuka sepenuhnya sudah terlihat sharingan milik tobi yang membuat Sasuke sangat terkejut melihatnya.
"Dina kaayaan terkejut, tanpa ngahaja Sasuke ngaluarkeun Amaterasu, Amaterasu éta ogé langsung ngeunaan leungeun katuhu Tobi saterusna ngabeuleum sakumna awak Tobi tanpa sésa, ahéngna sawatara waktu saterusna ti dina kegelapan gua, Tobi balik mecenghul tanpa tatu sedikitpun.","Dalam keadaan terkejut, tanpa sengaja Sasuke mengeluarkan Amaterasu, Amaterasu itu pun langsung mengenai tangan kanan Tobi kemudian membakar seluruh tubuh Tobi tanpa sisa, anehnya beberapa saat kemudian dari dalam kegelapan gua, Tobi kembali muncul tanpa luka sedikitpun."
"Sasuke anu ngarasa ahéng kalayan naon anu geus dipigawé ku manéhna ka Tobi, nanya ka Tobi sarta Tobi ogé ngécéskeun ka sasuke naha manéhna bisa ngaluarkeun Amaterasu.","Sasuke yang merasa aneh dengan apa yang telah dilakukannya terhadap Tobi, bertanya kepada Tobi dan Tobi pun menjelaskan kepada sasuke mengapa ia dapat mengeluarkan Amaterasu."
"Tobi ngécéskeun yén Sasuke meunangkeun jurus kasebut alatan sajongjonan saméméh maotna, Itachi méré sakumna jurusnya ka Sasuke.Pamustunganana tobi ogé nyaritakeun carita mangsa tuluyna ngeunaan nangtungna désa konohagakure ,kisah kaéléhna kalayan hokage kahiji sarta ékol naha itachi maéhan kabéh anggota klan uciha.","Tobi menjelaskan bahwa Sasuke mendapatkan jurus tersebut karena sesaat sebelum kematiannya, Itachi memberikan seluruh jurusnya kepada Sasuke.Akhirnya tobi pun menceritakan kisah masa lalunya tentang berdirinya desa konohagakure ,kisah kekalahannya dengan hokage pertama dan alasan mengapa itachi membunuh semua anggota klan uciha."
"Sabenerna, konohagakure nyaéta désa hasil pergabungan sarta gencatan pakarang antara klan uciha sarta klan senju.","Sebenarnya, konohagakure adalah desa hasil pergabungan dan gencatan senjata antara klan uciha dan klan senju."
"Sanggeus kabentukna konohagakure, Madara Uchiha hayang ngalakonan pemberontakan ka klan senju anu waktu éta ngawasa pamaréntahan.","Setelah terbentuknya konohagakure, Madara Uchiha ingin melakukan pemberontakan terhadap klan senju yang saat itu menguasai pemerintahan."
"Manéhna ngajak sasama klan pikeun ngalakonan pemberontakan, tapi maranéhanana leuwih asih katengtreman sarta nampik ajakan Madara.","Ia mengajak sesama klan untuk melakukan pemberontakan, tapi mereka lebih cinta perdamaian dan menolak ajakan Madara."
"Madara ogé indit sarta ngalawan hokage1 sorangan, tapi, manéhna éléh.","Madara pun pergi dan melawan hokage1 sendirian, tapi, ia kalah."
Itachi maéhan klan Uciha alatan dibéré misi ku konoha.,Itachi membunuh klan Uciha karena diberi misi oleh konoha.
"Itachi dihadapkan ku pilihan-pilihan mengerikan, dina waktu éta pisan itachi pamustunganana milih membantai sakumna klan uciha.","Itachi dihadapkan oleh pilihan-pilihan mengerikan, pada saat itulah itachi akhirnya memilih membantai seluruh klan uciha."
"Tapi, manéhna henteu bisa maéhan adina sorangan.sasuke ogé mengenang mangsa tuluyna babarengan itachi.di konoha naruto ogé nyaho yén Jiraya geus tiwas.","Tapi, ia tidak bisa membunuh adiknya sendiri.sasuke pun mengenang masa lalunya bersama itachi.di konoha naruto pun mengetahui bahwa Jiraya sudah tewas."
"Fukasaku, guru ti Jiraiya ménta ambéh Naruto diajar téknik Sage ngaleuwihan dirina sarta ngéléhkeun Pain.","Fukasaku, guru dari Jiraiya meminta agar Naruto mempelajari teknik Sage melebihi dirinya dan mengalahkan Pain."
Pamustunganana naruto megatkeun indit ka Myobokuzan babarengan Fukasaku. di tempat séjén Sasuke moro Hachibi.,Akhirnya naruto memutuskan berangkat ke Myobokuzan bersama Fukasaku. di tempat lain Sasuke memburu Hachibi.
Hachibi pohara kuat ku kituna merepotkan tim Taka tapi bisa diéléhkeun ku Sasuke kalayan jurus Amaterasu.,Hachibi sangat kuat sehingga merepotkan tim Taka tetapi bisa dikalahkan oleh Sasuke dengan jurus Amaterasu.
"Disisi séjén, Raikage kaopat (A), lanceuk Killer Bee (jinchuuriki ti Hachibi) méré idin prosés néwak Sasuke ka Konoha.","Disisi lain, Raikage keempat (A), kakak Killer Bee (jinchuuriki dari Hachibi) memberi izin penangkapan Sasuke ke Konoha."
"Dina waktu penyegelan, Hachibi anu disegel Akatsuki tétéla palsu.","Pada saat penyegelan, Hachibi yang disegel Akatsuki ternyata palsu."
Samentara éta kaayaan Konoha mimitian terdesak sanggeus Pain mitembeyan serangan.,Sementara itu keadaan Konoha mulai terdesak setelah Pain memulai serangan.
"Pain anu geus ngabogaan hiji awak kakara deui, anu ngagantikeun awak anu dihancurkan Jiraiya saméméhna, jadi pohara kuat sarta henteu terkalahkan.","Pain yang telah memiliki satu tubuh baru lagi, yang menggantikan tubuh yang dihancurkan Jiraiya sebelumnya, menjadi sangat kuat dan tidak terkalahkan."
Pain anu papanggih jeung Iruka langsung rék maéhanana tapi disalametkeun ku Kakashi.,Pain yang bertemu dengan Iruka langsung hendak membunuhnya tetapi diselamatkan oleh Kakashi.
Pertarungan Pain sarta Kakashi ogé dimimitian.,Pertarungan Pain dan Kakashi pun dimulai.
Kakashi anu ngaluarkeun Raikiri ditakis kalayan gampang ku Pain.,Kakashi yang mengeluarkan Raikiri ditangkis dengan mudah oleh Pain.
"Tsunade maréntahkeun sabuntut kodok anu asalna ti Myobokuzan anu ditinggalkeun di Konoha, pikeun ngagero Naruto balik ka Konoa, tapi kodok kasebut dibunuh ku Danzo.","Tsunade memerintahkan seekor kodok yang berasal dari Myobokuzan yang ditinggalkan di Konoha, untuk memanggil Naruto kembali ke Konoa, tetapi kodok tersebut dibunuh oleh Danzo."
Naruto anu keur ngajalanan 'tes percobaan kalayan chakra Senjutsu' pikeun anu pamungkas tétéla ogé meunang tahanan.,Naruto yang sedang menjalani 'tes percobaan dengan chakra Senjutsu' untuk yang terakhir ternyata juga mendapat hambatan.
Konoha beuki gawat.,Konoha semakin gawat.
Konan ogé mimitian boga aksi kalayan jutsu ngarobah awak jadi kertas.,Konan juga mulai beraksi dengan jutsu mengubah tubuh menjadi kertas.
"Tsunade anu pohara salempang jeung kaayaan désa Konoha, geura-giru ngagero Kuchiyose bogana.","Tsunade yang sangat khawatir dengan keadaan desa Konoha, segera memanggil Kuchiyose miliknya."
Pertarungan Kakashi ngalawan Pain beuki ngadeukeutan ahir.,Pertarungan Kakashi melawan Pain semakin mendekati akhir.
Tapi dina wayah éta datanglah salah sahiji awak pain pikeun mantuan pain salah sahiji awak kasebut bebrubah jadi pakarang sarta narajang Kakashi. tapi alatan kehebatan Kakashi kakashi ngarobah cakranya jadi bayangan klon guludug. awak kakashi ogé lemah alatan ngalaan kabéh chakranya. akhinya datanglah dua anggota klan Akimichi salah sahiji anu datang nyaéta ayah Chouji.,Tapi pada waktu itu datanglah salah satu tubuh pain untuk membantu pain salah satu tubuh tersebut bebrubah menjadi senjata dan menyerang Kakashi. tapi karena kehebatan Kakashi kakashi mengubah cakranya menjadi bayangan klon petir. tubuh kakashi pun lemah karena melepaskan semua chakranya. akhinya datanglah dua anggota klan Akimichi salah satu yang datang adalah ayah Chouji.
