javanese,indonesian
John Lennon,John Lennon
Dheweke misuwur minangka anggota kelompok musik The Beatles.,"John Winston Ono Lennon () paling dikenal sebagai penyanyi, pencipta lagu, instrumentalis, penulis, dan aktivis politik yang terkenal di seluruh dunia sebagai pemimpin dari The Beatles."
John Lennon olehe tilar donya dipateni ing New York.,"Ia meninggal di New York pada usia 40 tahun, ditembak oleh Mark Chapman, penggemarnya yang gila."
"John Lennon tau kawin karo Cynthia Lennon lan Yoko Ono, sawijining wanita Jepang.","Lennon dua kali menikah, yaitu dengan Cynthia Powell pada tahun 1962 dan seniman Jepang, Yoko Ono pada tahun 1969."
Karet gelang,Karet gelang
Karet gelang utawa gelang karet yaiku potongan karet awujud gelang kang digawe kanggo naleni barang.,Karet gelang atau gelang karet adalah potongan karet berbentuk gelang yang dibuat untuk mengikat barang.
"Karet gelang kabagi saka macem macem ukuran, saka ukuran paling gedhe nganti paling cilik, saka paling kandel nganti paling tipis.","Karet gelang terdiri dari berbagai macam ukuran, dari yang besar hingga yang kecil, dari yang tebal hingga yang tipis."
Bahan baku karet gelang yaiku karet alami mula wernane kuning.,Bahan baku karet gelang adalah karet alami sehingga berwarna kuning.
Karet gelang warna warni digawe kanthi nambahi bahan pewarna.,Karet gelang berwarna-warni dihasilkan dengan menambahkan bahan pewarna.
Prodhusen uga ana kang nggawe karet gelang tahan lenga lan tahan sakabehing cuaca.,Produsen juga ada yang membuat karet gelang tahan minyak dan tahan segala cuaca.
O ring wujude mirip karet gelang nanging digawe saka elastomer lan dienggo minangka seal.,"O-ring berbentuk mirip karet gelang tapi dibuat dari elastomer dan digunakan sebagai ""seal""."
"Dibandhingake karo karet gelang, O ring ora patiya elastis.","Dibandingkan dengan karet gelang, O-ring tidak begitu elastis."
Sebagian besar karet gelang digawe saka karet alami kang mujudake asil pengolahan lateks saka wit karet.,Sebagian besar karet gelang dibuat dari karet alami yang merupakan hasil pengolahan lateks dari pohon karet.
"Karet gelang uga digawe saka karet sintetis, nanging kalah misuwur saka karet alami kang elastis.","Karet gelang juga dibuat dari karet sintetis, tapi kalah populer dari karet alami yang elastis."
Prinsip panggaweyan karet gelang sedherhana banget.,Prinsip pembuatan karet gelang sangat sederhana.
Karet awujud silinder tabung dawa dikethok kethok dadi karet gelang miturut ukurane.,Karet berbentuk silinder (tabung) panjang dipotong-potong menjadi karet gelang sesuai ukuran.
Ukuran.,Ukuran.
"Di negara liya, ukuran karet gelang diatur miturut standar kang ana ing negara iku.","Di beberapa negara, ukuran karet gelang diatur sesuai standar yang berlaku di negara tersebut."
"Karet gelang duweni dawa, amba, lan dhuwur.","Sebuah karet gelang mempunyai panjang, lebar, dan tinggi."
Dawa karet gelang yaiku setengah saka garis keliling.,Panjang karet gelang adalah setengah dari garis keliling.
Dhuwur karet gelang nujudake jarak saka garis jero nganti garis jaba.,Tinggi karet gelang merupakan jarak dari garis dalam hingga garis luar.
Amba karet gelang yaiku kandele karet gelang nalika dikethok kethok saka silinder karet kang dawa.,Lebar karet gelang adalah ketebalan karet gelang sewaktu dipotong-potong dari silinder karet yang panjang.
Panemu lan usahawan kebangsaan Inggris kang jenenge Stephen Perry mujudake wong pisanan kang bisa ngentukake paten kanggo karet gelang.,Seorang penemu dan usahawan berkebangsaan Inggris bernama Stephen Perry merupakan orang pertama yang berhasil memperoleh paten untuk karet gelang.
Stephen Perry kang duwe perusahaan karet vulkanisir entuk paten kanggo karet gelang ing tanggal 17 Mei 1845.,Stephen Perry yang mempunyai perusahaan karet vulkanisir memperoleh paten untuk karet gelang pada tanggal 17 Mei 1845.
Karet gelang kang dipatenkan Perry beda karo karet gelang kang ana saiki.,Karet gelang yang dipatenkan Perry berbeda dengan karet gelang yang ada sekarang.
"Karet gelang zaman saiki wis ngalami vulkanisasi, mula karet luwih elastis, tahan suwe lan menthine duweni akeh mupangat.","Karet gelang zaman sekarang sudah mengalami vulkanisasi, sehingga karet lebih elastis, tahan lama dan pastinya lebih bermanfaat."
Mupangat.,Kegunaan.
Karet gelang asipat elastis mula mupangat kanggo naleni barang.,Karet gelang bersifat elastis sehingga sangat berguna untuk membantu pekerjaan ikat mengikat.
Dolanan.,Permainan memakai karet gelang.
"Karet gelang uga bisa dadi dolanan kang nyenengake, kayata jepretan nganggo karet gelang.","Karet gelang juga bisa dijadikan mainan yang asyik, antara lain jepret-jepretan dengan karet gelang."
"Kulit manungsa kang kena jepretan karet gelang biyasane ora apa apa, nanging yen dijepretake marang kewan, rai wong utawa mripat bisa ngakibatake bahaya.","Kulit manusia yang terkena jepretan karet gelang biasanya tidak apa-apa, tapi bila dijepretkan ke binatang, muka orang atau terkena mata bisa berbahaya."
Karet gelang uga bisa diuncalake kanthi bedhil bedhilan saka kayu bekas kang entheng utawa sumpit sekali pakai.,Karet gelang juga bisa dilontarkan dengan pistol-pistolan buatan sendiri dari kayu bekas yang ringan atau sumpit sekali pakai.
Ing Jepang ana kejuwaraan nasional nembak nganggo karet gelang.,"Di Jepang bahkan ada kejuaraan nasional menembak karet gelang. Anak perempuan di berbagai negara menggunakan untaian karet gelang untuk ""main karet""."
Rentengan karet gelang dienggo bocah wadon kanggo dolanan lompat tali.,Untaian karet gelang digunakan anak perempuan untuk bermain loncat tali.
"Bocah loro nyekeli pucuk tali lan diubengake, dene bocah liyane nglompati tali iku.",Dua anak memegang kedua ujung tali dan meregangkan atau mengayunkannya sementara anak yang lain berusaha meloncatinya.
Brigade,Brigade
"Brigade kuwi tataran satuan militer sangisore divisi, kang dumadi saka 1.500 nganti 5000 personil, kang dipimpin dening Brigadir utawa Kolonel.","Brigade (dari bahasa Prancis, lewat bahasa Belanda) adalah satuan militer dibawah divisi, yang terdiri dari 3.000 sampai 5000 orang, yang dipimpin oleh seorang Kolonel atau Brigadir Jenderal."
"Sawijining brigade kawangun saka loro nganti papat batalyon, kang biasane arupa telu batalyon unsur tempur, unsur bantuan tempur lan unsur bantuan administrasi.","Sebuah brigade terbentuk dari dua sampai empat batalyon, yang biasanya berupa tiga batalyon unsur tempur, unsur bantuan tempur, dan unsur bantuan administrasi."
"Brigade bisa dipadhakake utawa beda karo resimen, gumantung sistem kang dianggo dening sawijining negara.","Brigade bisa disamakan atau berbeda dengan resimen, tergantung sistem yang dipakai sebuah negara."
Indonesia.,Indonesia.
"Amarga minangka satuan tempur kang relatif gedhe, mula nalika ngayahi tugas operasi ing tingkat brigade, kesatuan kasebut bisa mandhiri, lengkap kanthi unsur Bantuan Tempur Banpur lan Bantuan Administrasi Banmin dhewe.","Karena merupakan satuan tempur yang relatif besar, maka ketika operasi pada tingkat brigade, kesatuan tersebut bisa bergerak sendiri, lengkap dengan unsur Bantuan Tempur (Banpur) dan Bantuan Administrasi (Banmin) sendiri."
"Koordinasi Banpur lan Banmin ana ing ngisore unit dhewe yakuwi Detasemen Markas, dipimpin dening Komandan Detasemen Markas Dandema.","Koordinasi Banpur dan Banmin berada dibawah unit tersendiri, yaitu Detasemen Markas, dipimpin seorang Komandan Detasemen Markas (Dandema)."
"Jroning organisasi TNI AD, satuan brigade wektu iki mung ana ing satuan infanteri, yakuwi ing satuan Kostrad utawa Kodam.","Dalam organisasi TNI-AD, satuan brigade saat ini hanya terdapat dalam satuan infanteri baik di Kostrad atau Kodam."
Susunan kang memper brigade uga ana ing struktur Kopassus kang disebut Grup.,Susunan yang mirip brigade juga terdapat dalam struktur Kopassus yang disebut Grup.
"Kanggo tataran brigade kanthi jeneng liya resimen ana ing Korps Artileri yakuwi Resimen Artileri Medan 1 lan Resimen Artileri Medan 2 ing Kostrad, Resimen Artileri Pertahanan Udara ing Kodam Jaya, Korps Zeni ing Resimen Zeni Konstruksi.","Untuk tingkat brigade dengan nama lain resimen ada di Korps Artileri meliputi Resimen Artileri Medan 1 dan Resimen Artileri Medan 2 di Kostrad, Resimen Artileri Pertahanan Udara di Kodam Jaya, Korps Zeni pada Resimen Zeni Konstruksi."
Dene kang liyane ana ing struktur Kostrad akehe ana enenm brigade infanteri.,Dan yang lainnya ada dalam struktur Kostrad sebanyak enam brigade infanteri.
"Jroning Angkatan Dharat Amerika Sarekat, brigade padha utawa sethithik luwih gedhe saka resimen.","Pada Angkatan Darat Amerika Serikat, brigade sama atau sedikit lebih besar dari resimen."
Dengan jumlah personel dari 1.500 sampai 3.500 orang.,Dengan jumlah personel dari 1.500 sampai 3.500 orang.
Kaisar Chongzhen,Kaisar Chongzhen
"Kaisar Chongzhen Hanzi: 崇祯, 6 Februari 1611 25 April 1644 yaiku kaisar ka 16 lan kang pungkasan saka Wangsa Ming.","Kaisar Chongzhen (Hanzi: 崇祯, 6 Februari 1611-25 April 1644) adalah kaisar ke-16 dan terakhir dari Dinasti Ming."
"Chongzhen gedhe ana ing lingkungan kang relatif tentrem merga dheweke arupa putra ragil saka Kaisar Taichang kang ndadekake objek kanggo rebutan kakuwasan kaya kang tau dialami dening kakangne, Kaisar Tianqi.","Chongzhen tumbuh dalam lingkungan yang relatif tenang karena dia adalah putra paling bungsu dari Kaisar Taichang sehingga tidak menjadi objek perebutan kekuasaan seperti yang pernah dialami oleh kakaknya, Kaisar Tianqi."
"Taun 1627, kakangne mangkat lan dheweke kang marisi tahta, umure nalika jaman semana nembe 16 taun.","Tahun 1627, kakaknya mangkat dan dia mewarisi tahta, umurnya waktu itu baru 16 tahun."
"Ora kaya kakangne kang gumantung marang kasime, Wei Zhongxian, dheweke duwe usaha kanggo mimpin pamarentahan kanthi indhependhen.","Tidak seperti kakaknya yang bergantung pada kasimnya, Wei Zhongxian, dia berusaha memerintah secara independen."
Chongzhen nyingkirake Wei lan Selir Ke kang wis suwe mimpim pamarentahan kanthi ora langsung.,Chongzhen menyingkirkan Wei dan Selir Ke yang telah lama memerintah di belakang layar.
"Wei diasingake menyang Fengyang, provinsi Anhui lan ana ing kana dheweke mati.","Wei diasingkan ke Fengyang, provinsi Anhui dimana dia bunuh diri tak lama kemudian."
"Semana uga 262 kroni kroni Wei, kabeh diasingake, dipecat, lan dieksekusi saka prentahe.","Demikian juga 262 kroni-kroni Wei, mereka diasingkan, dipecat, dan dieksekusi atas perintahnya."
Chongzhen ngusahake kanggo mimpin pamarentahan tanpa gumantung marang para kasim lan sabisa bisane nylametake wangsane kang wis bobrok.,Chongzhen berusaha memerintah tanpa tergantung para kasim dan sebisa mungkin menyelamatkan dinastinya yang sudah bobrok.
Dheweke uga sregep teka ana ing rapat rapat pamarentahan.,Dia rajin menghadiri rapat-rapat pemerintahan.
Nalika krungu pageblug kurang pangan ana ing sawijing dhaerah dheweke menehi prentah kanggo nangani kanthi cepet.,Ketika mendengar bencana kelaparan di suatu daerah dia memerintahkan penanganan segera.
"emane yaiku, niat becike Chongzhen kaalangan dening korupsi kang wis ana ing pamrentahan lan kas negara kang wiwit entek.","Sayang, maksud baik Chongzhen terhalang oleh korupsi yang telah menggerogoti tubuh pemerintahan dan kas negara yang makin menipis."
Perkara iki ngangelake dheweke kangggo golek pejabat kang kompeten kanggo ngisi posisi wigati ana ing pamarentahan.,Hal ini mempersulit mencari pejabat yang kompeten untuk mengisi posisi penting dalam pemerintahan.
"Kang luwih parah meneh yaiku sifat saka Chongzhen kang paranoid, dheweke luwih cubriya marang pejabat pejabat kang kompeten lan nibakake ukuman pati kanthi sembrana marang para pejabat mau.","Yang lebih parah adalah sifat Chongzhen yang paranoid, dia cenderung mencurigai pejabat-pejabat yang kompeten dan menjatuhkan hukuman mati dengan gegabah terhadap mereka."
"Salah sijine kang dadi korbane yaiku Yuan Chonghuan, jendral kang duwe jasa gedhe kanggo nahan serangan suku Manchu ana ing wates lor.","Salah satunya yang menjadi korban adalah Yuan Chonghuan, jendral yang berjasa besar menahan serbuan suku Manchu selama bertahun-tahun di perbatasan utara."
Pranala njaba.,Daftar Kaisar Dinasti Ming Pranala luar.
Ati,Hati
"Ati  arupa kelenjar paling gedhe ing njero awak, manggon ana njero rongga weteng sisih tengen, penere ing sangisore diafragma.","Hati () merupakan kelenjar terbesar di dalam tubuh, terletak dalam rongga perut sebelah kanan, tepatnya di bawah diafragma."
"Iki amarga ati mbiyantu fungsi ginjal kanthi cara mecah saperangan senyawa sing asifat racun lan ngasilake amonia, urea, lan asam urat kanthi mupangatake nitrogen saka asam amino.","Hal ini dikarenakan hati membantu fungsi ginjal dengan cara memecah beberapa senyawa yang bersifat racun dan menghasilkan amonia, urea, dan asam urat dengan memanfaatkan nitrogen dari asam amino."
Proses pamecahan senyawa racun dening ati diarani proses detoksifikasi.,Proses pemecahan senyawa racun oleh hati disebut proses detoksifikasi.
Lobus ati kawangun saka sel parenkimal lan sel non parenkimal.,Lobus hati terbentuk dari sel parenkimal dan sel non-parenkimal.
"Sel parenkimal ing ati diarani hepatosit, manggoni watara 80% volume ati lan nglakokake maneka fungsi utama ati.","Sel parenkimal pada hati disebut hepatosit, menempati sekitar 80% volume hati dan melakukan berbagai fungsi utama hati."
40% sel ati ana ing lobus sinusoidal.,40% sel hati terdapat pada lobus sinusoidal.
Hepatosit arupa sel endodermal sing kastimulasi dening jaringan mesenkimal sacara terus terusan wiwit embrio nganti ngrembaka dadi sel parenkimal.,Hepatosit merupakan sel endodermal yang terstimulasi oleh jaringan mesenkimal secara terus-menerus pada saat embrio hingga berkembang menjadi sel parenkimal.
"Sakwene wektu mau, dumadi paningkatan transkripsi mRNA albumin minangka stimulan proliferasi lan diferensiasi sel endodermal dadi hepatosit.","Selama masa tersebut, terjadi peningkatan transkripsi mRNA albumin sebagai stimulan proliferasi dan diferensiasi sel endodermal menjadi hepatosit."
"Lumen lobus kawangun saka SEC lan dipanggoni dening 3 jinis sel liya, kayata sel Kupffer, sel Ito, limfosit intrahepatik kayata sel pit.","Lumen lobus terbentuk dari SEC dan ditempati oleh 3 jenis sel lain, seperti sel Kupffer, sel Ito, limfosit intrahepatik seperti sel pit."
"Sel non parenkimal manggoni watara 6,5% volume ati lan mrodhuksi maneka substansi sing ngendhalekake akeh fungsi hepatosit. Sel Kupffer ana ing jaringan intrasinusoidal, arupa makrofaga kanthi kamampuan endositik lan fagositik sing ngeramake.","Sel non-parenkimal menempati sekitar 6,5% volume hati dan memproduksi berbagai substansi yang mengendalikan banyak fungsi hepatosit. Sel Kupffer berada pada jaringan intrasinusoidal, merupakan makrofaga dengan kemampuan endositik dan fagositik yang mencengangkan."
"Sel Kupffer sadina dina interaksi karo material sing asale saka saluran pancernan sing ngandhut larutan bakterial, lan nyegah aktivasi efek toksin senyawa mau menyang njero ati.","Sel Kupffer sehari-hari berinteraksi dengan material yang berasal saluran pencernaan yang mengandung larutan bakterial, dan mencegah aktivasi efek toksin senyawa tersebut ke dalam hati."
"Paparan larutan bakterial sing dhuwur, utamane paparan LPS, gawe sel Kupffer nglakokake sekresi maneka sitokina sing micu proses paradhangan lan bisa ngakibatake tatu ing ati.","Paparan larutan bakterial yang tinggi, terutama paparan LPS, membuat sel Kupffer melakukan sekresi berbagai sitokina yang memicu proses peradangan dan dapat mengakibatkan cedera pada hati."
"Sekresi antara liya ngliputi spesi oksigen reaktif, eikosanoid, nitrogen monoksida, karbon monoksida, TNF α, IL 10, minangka respon kakebalan turunan jroning fasa infeksi primer.","Sekresi antara lain meliputi spesi oksigen reaktif, eikosanoid, nitrogen monoksida, karbon monoksida, TNF-α, IL-10, sebagai respon kekebalan turunan dalam fase infeksi primer."
"Sel pit arupa limfosit kanthi granula gedhe, kaya sel NK sing manggon ing ati.","Sel pit merupakan limfosit dengan granula besar, seperti sel NK yang bermukim di hati."
Sel pit bisa ngindhuksi pepati sanalika ing sel tumor tanpa gumantung ing ekspresi antigen ing kompleks histokompatibilitas utama.,Sel pit dapat menginduksi kematian seketika pada sel tumor tanpa bergantung pada ekspresi antigen pada kompleks histokompatibilitas utama.
Aktivitas sel pit bisa ditingkatake kanthi stimulasi interferon γ.,Aktivitas sel pit dapat ditingkatkan dengan stimulasi interferon-γ.
"Saliyane iku, ing ati isih ana sel T γδ, sel T αβ lan sel NKT.","Selain itu, pada hati masih terdapat sel T-γδ, sel T-αβ dan sel NKT."
Sel punca.,Sel punca.
"Saliyane hepatosit lan sel non parenkimal, ing ati isih ana jinis sel liya yaiku sel intra hepatik sing asring diarani sel oval, dan hepatosit duktular.","Selain hepatosit dan sel non-parenkimal, pada hati masih terdapat jenis sel lain yaitu sel intra-hepatik yang sering disebut sel oval, dan hepatosit duktular."
"Regenerasi ati sawise hepatektomi parsial, umume ora nglibatake sel progenitor intra hepatik lan sel punca ekstra hepatik hemopoietik, lan gumantung mung marang proliferasi hepatosit.","Regenerasi hati setelah hepatektomi parsial, umumnya tidak melibatkan sel progenitor intra-hepatik dan sel punca ekstra-hepatik (hemopoietik), dan bergantung hanya kepada proliferasi hepatosit."
"Nanging jroning kahanan nalika proliferasi hepatosit kacandhet utawa katundha, sel oval sing ana ing area periportal bakal ngalami proliferasi lan diferensiasi dadi hepatosit diwasa.","Namun dalam kondisi saat proliferasi hepatosit terhambat atau tertunda, sel oval yang berada di area periportal akan mengalami proliferasi dan diferensiasi menjadi hepatosit dewasa."
"Sel oval arupa wangun diferensiasi saka sel progenitor sing ana ing area portal lan periportal, utawa kanal Hering, lan mung ditemokake nalika ati ngalami cidra.","Sel oval merupakan bentuk diferensiasi dari sel progenitor yang berada pada area portal dan periportal, atau kanal Hering, dan hanya ditemukan saat hati mengalami cedera."
Proliferasi sing dumadi ing sel oval bakal mbentuk saluran ekskresi sing ngubungake area parenkima papan dumadine karusakan ati karo saluran empedu.,Proliferasi yang terjadi pada sel oval akan membentuk saluran ekskresi yang menghubungkan area parenkima tempat terjadinya kerusakan hati dengan saluran empedu.
"Epimorfin, sawijining morfogen sing akeh ditemokake duwe peran ing akeh organ epitelial, katone uga duwe peran ing pambentukan saluran empedu dening sel punca hepatik.","Epimorfin, sebuah morfogen yang banyak ditemukan berperan pada banyak organ epitelial, nampaknya juga berperan pada pembentukan saluran empedu oleh sel punca hepatik."
Sawise iku sel oval bakal kadiferensiasi dadi hepatosit duktular.,Setelah itu sel oval akan terdiferensiasi menjadi hepatosit duktular.
Hepatosit duktular dianggep arupa sel transisi sing magepokan antarane karo: Sel imunologis.,Hepatosit duktular dianggap merupakan sel transisi yang terkait antara lain dengan: tergantung pada jenis gangguan yang menyerang hati.
Ati uga duwe peran jroning sistem kakebalan kanthi akehe sel imunologis ing sistem retikuendotelial sing duwe fungsi minangka tapis antigen sing kagawa menyang ati liwat sistem portal ati.,Hati juga berperan dalam sistem kekebalan dengan banyaknya sel imunologis pada sistem retikuendotelial yang berfungsi sebagai tapis antigen yang terbawa ke hati melalui sistem portal hati.
"Papindhahan fasa infeksi saka fasa primer dadi fasa akut, ditengeri dening ati kanthi ngedhunake sekresi albumin lan ngunggahake sekresi fibrinogen.","Perpindahan fase infeksi dari fase primer menjadi fase akut, ditandai oleh hati dengan menurunkan sekresi albumin dan menaikkan sekresi fibrinogen."
Fasa akut sing terus terusan bakal ngakibatake simtoma hipoalbuminemia lan hiperfibrinogenemia.,Fasa akut yang berkepanjangan akan berakibat pada simtoma hipoalbuminemia dan hiperfibrinogenemia.
"Nalika ati cidra, sel getih putih bakal distimulasi kanggo migrasi nuju ati lan bebarengan karo sel Kupffer nyekresi sitokina sing gawe modulasi prilaku sel Ito.","Pada saat hati cedera, sel darah putih akan distimulasi untuk bermigrasi menuju hati dan bersama dengan sel Kupffer mensekresi sitokina yang membuat modulasi perilaku sel Ito."
"Sel TH1 mrodhuksi sitokina sing ningkatake respon kakebalan selular kayata IFN gamma, TNF, lan IL 2.","Sel TH1 memproduksi sitokina yang meningkatkan respon kekebalan selular seperti IFN-gamma, TNF, dan IL-2."
"Sel TH2 suwalike bakal mrodhuksi sitokina sing ningkatake respon kakebalan humoral kayata IL 4, IL 5, IL 6, IL 13 lan ningkatake respon fibrosis.","Sel TH2 sebaliknnya akan memproduksi sitokina yang meningkatkan respon kekebalan humoral seperti IL-4, IL-5, IL-6, IL-13 dan meningkatkan respon fibrosis."
"Sitokina sing disekresi dening sel TH1 bakal nyandhet diferensiasi sel T dadi sel TH2, suwalike sitokina sekresi TH2 bakal nyandhet proliferasi sel TH1.","Sitokina yang disekresi oleh sel TH1 akan menghambat diferensiasi sel T menjadi sel TH2, sebaliknya sitokina sekresi TH2 akan menghambat proliferasi sel TH1."
"Mula respon kakebalan asring ditelakake kapolarisasi menyang respon kakebalan selular utawa humoral, nanging durung tau kalorone.","Oleh sebab itu respon kekebalan sering dikatakan terpolarisasi ke respon kekebalan selular atau humoral, namun belum pernah keduanya."
Fungsi ati.,Fungsi hati.
"Maneka jinis tugas sing dilakokake dening ati, dilakokake dening hepatosit.","Berbagai jenis tugas yang dijalankan oleh hati, dilakukan oleh hepatosit."
Nganti saiki durung ditemokake organ liya utawa organ gaweyan utawa piranti sing bisa nggantekake kabeh fungsi ati.,Hingga saat ini belum ditemukan organ lain atau organ buatan atau peralatan yang mampu menggantikan semua fungsi hati.
"Saperangan fungsi ati bisa digantekake kanthi proses dialisis ati, nanging teknologi iki isih terus dikembangake kanggo perawatan panandhang gagal ati.","Beberapa fungsi hati dapat digantikan dengan proses dialisis hati, namun teknologi ini masih terus dikembangkan untuk perawatan penderita gagal hati."
"Minangka kelenjar, ati ngasilake: Saliyane nglakokake proses glikolisis lan siklus asam sitrat kaya sel ing umume, ati uga duwe peran jroning metabolisme karbohidrat liyane: Regenerasi sel ati.","Sebagai kelenjar, hati menghasilkan: Selain melakukan proses glikolisis dan siklus asam sitrat seperti sel pada umumnya, hati juga berperan dalam metabolisme karbohidrat yang lain: dan pada lintasan katabolisme: Hati juga mencadangkan beberapa substansi, selain glikogen: Regenerasi sel hati."
Kamampuan ati kanggo nglakokake regenerasi arupa sawijining proses sing wigati banget supaya ati bisa pulih saka karusakan sing ditimbulake saka proses detoksifikasi lan imunologis.,Kemampuan hati untuk melakukan regenerasi merupakan suatu proses yang sangat penting agar hati dapat pulih dari kerusakan yang ditimbulkan dari proses detoksifikasi dan imunologis.
"Regenerasi kagayuh kanthi interaksi sing kompleks banget antara sel sing ana jroning ati, ing antarane hepatosit, sel Kupffer, sel endotelial sinusoidal, sel Ito lan sel punca  karo organ ekstra hepatik, kayata kelenjar tiroid, kelenjar adrenal, pankreas, duodenum, hipotalamus.","Regenerasi tercapai dengan interaksi yang sangat kompleks antara sel yang terdapat dalam hati, antara lain hepatosit, sel Kupffer, sel endotelial sinusoidal, sel Ito dan sel punca; dengan organ ekstra-hepatik, seperti kelenjar tiroid, kelenjar adrenal, pankreas, duodenum, hipotalamus."
"Hepatosit, iku sel sing unik banget.","Hepatosit, adalah sel yang sangat unik."
"Potensi hepatosit kanggo nglakokake proliferasi, muncul nalika dumadi kelangan massa sel, sing diarani fasa prima utawa fasa kompetensi replikatif sing umume dipicu dening sel Kupffer liwat sekresi sitokina IL 6 lan TNF α.","Potensi hepatosit untuk melakukan proliferasi, muncul pada saat-saat terjadi kehilangan massa sel, yang disebut fase prima atau fase kompetensi replikatif yang umumnya dipicu oleh sel Kupffer melalui sekresi sitokina IL-6 dan TNF-α."
"Ing fasa iki, hepatosit ngleboni siklus sel saka fasa G menyang fasa G. TNF α bisa menehake efek proliferatif utawa apoptotik, gumantung ing spesi oksigen reaktif lan glutathion, minimal 4 faktor transkripsi diaktivasi sadurunge hepatosit mlebu menyang njero fasa proliferasi, yaiku NF κB, STAT 3, AP 1 lan C EBP beta.","Pada fase ini, hepatosit memasuki siklus sel dari fase G ke fase G. TNF-α dapat memberikan efek proliferatif atau apoptotik, bergantung pada spesi oksigen reaktif dan glutathion, minimal 4 faktor transkripsi diaktivasi sebelum hepatosit masuk ke dalam fase proliferasi, yaitu NF-κB, STAT-3, AP-1 dan C/EBP-beta."
"Proliferasi hepatosit diindhuksi dening stimulasi sitokina HGF lan TGF α, lan EGF kanthi rong lintasan.","Proliferasi hepatosit diinduksi oleh stimulasi sitokina HGF dan TGF-α, dan EGF dengan dua lintasan."
"HGF, TGF α, lan EGF arupa faktor patuwuhan sing asale saka substrat serina lan protein logam sing ngindhuksi sintesis DNA.","HGF, TGF-α, dan EGF merupakan faktor pertumbuhan yang berasal dari substrat serina dan protein logam yang menginduksi sintesis DNA."
"Lintasan pisanan yaiku lintasan IL 6 STAT 3 sing duwe peran jroning siklus sel liwat siklin D1 p21 lan pangreksan sel kanthi paningkatan rasio FLIP, Bcl 2, Bcl xL, Ref1, lan MnSOD.","Lintasan pertama adalah lintasan IL-6/STAT-3 yang berperan dalam siklus sel melalui siklin D1/p21 dan perlindungan sel dengan peningkatan rasio FLIP, Bcl-2, Bcl-xL, Ref1, dan MnSOD."
"Lintasan kaloro yaiku lintasan PI3 K PDK 1 Akt sing ngendhalekake ukuran sel liwat molekul mTOR, saliyane minangka dat anti apoptosis lan antioksidan.","Lintasan kedua adalah lintasan PI3-K/PDK-1/Akt yang mengendalikan ukuran sel melalui molekul mTOR, selain sebagai zat anti-apoptosis dan antioksidan."
"Hormon tri iodotironina, saliyane ngedhunake kadhar kolesterol ing ati, uga duwe kapasitas jroning proliferasi hepatosit minangka mitogen sing duwe peran ing siklin D1, nambah cepet konsumsi O2 dening mitokondria kanthi ngaktivasi transkripsi ing gen ambegan nganti ningkatake prodhuksi spesi oksigen reaktif.","Hormon tri-iodotironina, selain menurunkan kadar kolesterol pada hati, juga memiliki kapasitas dalam proliferasi hepatosit sebagai mitogen yang berperan pada siklin D1, mempercepat konsumsi O2 oleh mitokondria dengan mengaktivasi transkripsi pada gen pernafasen hingga meningkatkan produksi spesi oksigen reaktif."
Sekresi ROS menyang njero sitoplasma hepatosit bakal ngaktivasi faktor transkripsi NF κB.,Sekresi ROS ke dalam sitoplasma hepatosit akan mengaktivasi faktor transkripsi NF-κB.
"Ing sel Kupffer, ROS jroning sitoplasma, bakal ngaktivasi sekresi sitokina TNF α, IL 6 lan IL 1 kanggo disekresi.","Pada sel Kupffer, ROS dalam sitoplasma, akan mengaktivasi sekresi sitokina TNF-α, IL-6 dan IL-1 untuk disekresi."
"Ikatan sing dumadi antarane katelu sitokina iki karo hepatosit bakal ngindhuksi ekspresi pancerep enzim antioksidan, kayata mangan superoksida dismutase, i nitrogen monoksida sintase, protein anti apoptosis Bcl 2, haptoglobin lan fibrinogen β sing diperlokake hepatosit jroning proliferasi.","Ikatan yang terjadi antara ketiga sitokina ini dengan hepatosit akan menginduksi ekspresi pencerap enzim antioksidan, seperti mangan superoksida dismutase, i-nitrogen monoksida sintase, protein anti-apoptosis Bcl-2, haptoglobin dan fibrinogen-β yang diperlukan hepatosit dalam proliferasi."
"Stres oksidatif sing bisa ditimbulake dening ROS uga karusakan sing bisa ditimbulake dening maneka sitokina, bisa diilangake kanthi asupan tosoferol 100 mg kg utawa senyawa panyandhet gadolinium klorida 10 mg kg kaya sing diduweni dening sel Kupffer, sadurunge stimulasi hormon tri iodotironina, ewadene laju proliferasi hepatosit dikendhalekake dening kadhar etanolamina minangka faktor hepatotrofik humoral.","Stres oksidatif yang dapat ditimbulkan oleh ROS maupun kerusakan yang dapat ditimbulkan oleh berbagai sitokina, dapat dilenyapkan dengan asupan tosoferol (100 mg/kg) atau senyawa penghambat gadolinium klorida (10 mg/kg) seperti yang dimiliki oleh sel Kupffer, sebelum stimulasi hormon tri-iodotironina, sedangkan laju proliferasi hepatosit dikendalikan oleh kadar etanolamina sebagai faktor hepatotrofik humoral."
Kamampuan ati kanggo ngelakokake regenerasi wis dikawruhi wiwit jaman Yunani kuna saka crita mitos ngenani sawijining titan sing jenenge Prometheus.,Kemampuan hati untuk melakukan regenerasi telah diketahui semenjak zaman Yunani kuno dari cerita mitos tentang seorang titan yang bernama Prometheus.
